"","codigo_postal","latitud","longitud"
"1",97000,20.9688720703125,-89.6234283447266
"2",97003,20.9516048431397,-89.6434936523438
"3",97050,20.9912509918213,-89.6212158203125
"4",97059,20.9902458190918,-89.6195449829102
"5",97060,20.9864807128906,-89.6414184570313
"6",97068,20.978889465332,-89.641845703125
"7",97069,20.9813747406006,-89.6418151855469
"8",97070,20.9898338317871,-89.6303863525391
"9",97080,20.9835929870605,-89.6138610839844
"10",97088,20.9813575744629,-89.6130981445313
"11",97089,20.9966621398926,-89.6318435668945
"12",97098,20.9604682922363,-89.6084518432617
"13",97099,20.969690322876,-89.6068344116211
"14",97100,20.9927272796631,-89.6044006347656
"15",97107,20.9975814819336,-89.6130981445313
"16",97108,20.9813709259033,-89.6057815551758
"17",97109,20.9855442047119,-89.6093597412109
"18",97110,21.036828994751,-89.6261520385742
"19",97113,21.0356292724609,-89.6025848388672
"20",97114,21.0201683044434,-89.6009674072266
"21",97115,21.0425510406494,-89.6214294433594
"22",97116,21.0235557556152,-89.6041870117188
"23",97117,21.0191421508789,-89.6081466674805
"24",97118,21.0149269104004,-89.621696472168
"25",97119,21.0196132659912,-89.6109313964844
"26",97120,21.017749786377,-89.6178359985352
"27",97121,20.9394474029541,-89.6431579589844
"28",97125,21.0034618377686,-89.6115341186523
"29",97127,20.9974689483643,-89.6190032958984
"30",97128,21.0138454437256,-89.6057510375977
"31",97129,21.0120582580566,-89.6132278442383
"32",97130,21.0258865356445,-89.5746841430664
"33",97133,21.0145568847656,-89.5886001586914
"34",97134,21.0236129760742,-89.5703353881836
"35",97135,21.0008106231689,-89.5891418457031
"36",97136,20.9967422485352,-89.6016006469727
"37",97137,20.9996433258057,-89.6027679443359
"38",97138,21.0088500976563,-89.5836410522461
"39",97139,21.0056896209717,-89.6076812744141
"40",97140,20.9816341400147,-89.6019134521484
"41",97142,20.9878826141357,-89.5691528320313
"42",97143,20.9883918762207,-89.5783462524414
"43",97144,20.9843444824219,-89.5749359130859
"44",97145,20.9864845275879,-89.5915756225586
"45",97146,20.9896850585938,-89.5956039428711
"46",97147,20.994083404541,-89.5891799926758
"47",97148,20.9902534484863,-89.597785949707
"48",97149,20.996898651123,-89.5926971435547
"49",97150,20.9770336151123,-89.5993194580078
"50",97155,20.9789333343506,-89.6071243286133
"51",97156,20.9782772064209,-89.5741958618164
"52",97157,20.9738750457764,-89.5927963256836
"53",97158,20.9735069274902,-89.6005325317383
"54",97159,20.9771919250488,-89.5849304199219
"55",97160,20.9675579071045,-89.5879821777344
"56",97165,20.9804592132568,-89.5687103271484
"57",97166,20.969596862793,-89.5741577148438
"58",97167,20.9622344970703,-89.5848236083984
"59",97168,20.9611473083496,-89.5919799804688
"60",97169,20.9641590118408,-89.5917205810547
"61",97170,20.9592781066895,-89.5759887695313
"62",97173,20.9535140991211,-89.5887298583984
"63",97174,20.9521522521973,-89.5998229980469
"64",97175,20.9646759033203,-89.5700912475586
"65",97176,20.9518966674805,-89.5703582763672
"66",97177,20.9550514221191,-89.6060562133789
"67",97178,20.9587955474854,-89.5695343017578
"68",97179,20.9545135498047,-89.5974502563477
"69",97180,20.9505615234375,-89.6083831787109
"70",97189,20.9438610076904,-89.6088485717773
"71",97190,20.9428043365479,-89.60400390625
"72",97195,20.9406337738037,-89.5833587646484
"73",97196,20.9305553436279,-89.5969924926758
"74",97198,20.9379634857178,-89.5916519165039
"75",97199,20.9361934661865,-89.6066055297852
"76",97203,21.0215740203857,-89.637336730957
"77",97204,21.0356140136719,-89.6343231201172
"78",97205,21.0115928649902,-89.6351852416992
"79",97206,21.005916595459,-89.6362380981445
"80",97207,21.0063533782959,-89.6385345458984
"81",97208,21.0152149200439,-89.6247940063477
"82",97209,21.0072040557861,-89.6341552734375
"83",97210,20.9991302490234,-89.6328811645508
"84",97215,21.0014514923096,-89.6254425048828
"85",97217,20.9977245330811,-89.6581878662109
"86",97218,20.9932117462158,-89.6374588012695
"87",97219,21.0031967163086,-89.6468658447266
"88",97220,20.9899139404297,-89.6557159423828
"89",97225,20.9846172332764,-89.6468276977539
"90",97226,20.9956912994385,-89.6671371459961
"91",97227,20.9912967681885,-89.6575622558594
"92",97229,20.9919204711914,-89.6528778076172
"93",97230,20.9777431488037,-89.6520462036133
"94",97237,20.9858779907227,-89.6642303466797
"95",97238,20.9878673553467,-89.6640853881836
"96",97239,20.9847869873047,-89.6598205566406
"97",97240,20.9683246612549,-89.6538314819336
"98",97245,20.9696655273438,-89.6626358032227
"99",97246,20.9727325439453,-89.6657180786133
"100",97247,20.9693088531494,-89.6508560180664
"101",97249,20.9511947631836,-89.6761627197266
"102",97250,20.9557437896729,-89.6475982666016
"103",97255,20.9306259155273,-89.6691665649414
"104",97256,20.9289836883545,-89.6796417236328
"105",97258,20.9506454467773,-89.6532669067383
"106",97259,20.9521083831787,-89.6484985351563
"107",97260,20.9444274902344,-89.6478118896484
"108",97267,20.9457378387451,-89.6428680419922
"109",97268,20.9438724517822,-89.6318054199219
"110",97269,20.9510173797607,-89.6466293334961
"111",97270,20.9416599273682,-89.6240081787109
"112",97277,20.9348793029785,-89.6248779296875
"113",97278,20.9376449584961,-89.6387100219727
"114",97279,20.9384059906006,-89.6169281005859
"115",97280,20.9251270294189,-89.6200332641602
"116",97284,20.9464492797852,-89.6472396850586
"117",97285,20.8889636993408,-89.6253814697266
"118",97286,20.9319820404053,-89.6162338256836
"119",97287,20.9228057861328,-89.6086502075195
"120",97288,20.9313812255859,-89.6752548217773
"121",97289,20.9315395355225,-89.6107940673828
"122",97290,20.908863067627,-89.6249771118164
"123",97295,20.894214630127,-89.6666564941406
"124",97296,20.9218196868897,-89.6696472167969
"125",97297,20.9113712310791,-89.6500625610352
"126",97298,20.9298267364502,-89.6231842041016
"127",97299,20.925048828125,-89.6242523193359
"128",97300,21.0344543457031,-89.578483581543
"129",97302,21.0626258850098,-89.612434387207
"130",97303,21.1296768188477,-89.6934967041016
"131",97304,21.1326274871826,-89.6131973266602
"132",97305,21.0393619537354,-89.5932693481445
"133",97306,20.9980812072754,-89.5559234619141
"134",97307,21.1199607849121,-89.6804962158203
"135",97308,21.1507682800293,-89.595100402832
"136",97309,21.0357322692871,-89.6264877319336
"137",97310,20.9621410369873,-89.4826354980469
"138",97312,20.9524402618408,-89.7143630981445
"139",97314,21.0097370147705,-89.6907119750977
"140",97315,20.8931541442871,-89.6658096313477
"141",97316,20.741756439209,-89.5771179199219
"142",97320,21.2837924957275,-89.6620941162109
"143",97324,21.2091464996338,-89.6564407348633
"144",97330,21.2948379516602,-89.6021118164063
"145",97334,21.1602630615234,-89.6541976928711
"146",97336,21.2678642272949,-89.7459259033203
"147",97337,21.2865753173828,-89.6640853881836
"148",97340,21.1349620819092,-89.5243453979492
"149",97342,21.1528644561768,-89.5198669433594
"150",97343,21.1540184020996,-89.481819152832
"151",97345,21.0742607116699,-89.5194549560547
"152",97346,21.0595359802246,-89.5170211791992
"153",97347,21.1100215911865,-89.5276412963867
"154",97348,21.0637969970703,-89.4188613891602
"155",97350,21.0150547027588,-89.8728713989258
"156",97353,20.9323959350586,-89.8379745483398
"157",97356,21.1600399017334,-90.0674438476563
"158",97357,21.0260486602783,-89.7532806396484
"159",97360,20.9132709503174,-89.9473037719727
"160",97362,20.8754405975342,-89.9316024780273
"161",97364,20.9582462310791,-89.9284515380859
"162",97365,20.964298248291,-89.9322204589844
"163",97367,20.8596954345703,-90.3965682983398
"164",97370,20.932653427124,-89.5554580688477
"165",97373,20.9226474761963,-89.5806045532227
"166",97374,20.9244689941406,-89.5919189453125
"167",97376,20.8720798492432,-89.5412750244141
"168",97377,20.8116760253906,-89.5116958618164
"169",97378,20.8670825958252,-89.5317993164063
"170",97380,20.8133773803711,-89.453239440918
"171",97382,20.8604621887207,-89.4323120117188
"172",97383,20.8153038024902,-89.472053527832
"173",97386,20.9708709716797,-89.4415893554688
"174",97387,20.992582321167,-89.4601364135742
"175",97388,20.9422225952148,-89.4087524414063
"176",97389,20.973560333252,-89.524040222168
"177",97390,20.881233215332,-89.7472763061523
"178",97392,20.9154834747314,-89.7026062011719
"179",97393,20.9006805419922,-89.7938995361328
"180",97394,20.8813571929932,-89.681999206543
"181",97395,20.8070659637451,-89.6925964355469
"182",97396,20.7455539703369,-89.7220001220703
"183",97397,20.8776302337647,-89.8604431152344
"184",97400,21.2013092041016,-89.2676086425781
"185",97404,21.2155666351318,-89.3049697875977
"186",97405,21.313591003418,-89.3541030883789
"187",97406,21.2339210510254,-89.2759017944336
"188",97407,21.3445224761963,-89.2537536621094
"189",97410,21.1594581604004,-89.1050796508789
"190",97414,21.1521797180176,-89.0897598266602
"191",97415,21.1441802978516,-89.1103668212891
"192",97417,21.131763458252,-89.0242767333984
"193",97420,21.2246608734131,-89.1793594360352
"194",97424,21.3532810211182,-89.1717987060547
"195",97425,21.2299785614014,-89.1143798828125
"196",97426,21.3562831878662,-89.1178970336914
"197",97430,21.0968971252441,-89.282844543457
"198",97432,21.1143093109131,-89.2806243896484
"199",97433,21.0827503204346,-89.276237487793
"200",97434,21.1019515991211,-89.3009033203125
"201",97436,21.1648406982422,-89.3576507568359
"202",97437,21.1357536315918,-89.3192596435547
"203",97440,21.1347732543945,-89.189094543457
"204",97443,21.1124572753906,-89.2454299926758
"205",97444,21.075798034668,-89.2007522583008
"206",97445,21.0615653991699,-89.2869415283203
"207",97446,21.0931701660156,-89.301513671875
"208",97450,21.1204605102539,-89.3960952758789
"209",97452,21.0876407623291,-89.3873519897461
"210",97453,21.1262607574463,-89.3920440673828
"211",97454,21.1028575897217,-89.4493103027344
"212",97455,21.1440811157227,-89.4518432617188
"213",97456,21.0972423553467,-89.4740982055664
"214",97457,21.0415210723877,-89.3363723754883
"215",97458,21.0125179290772,-89.337516784668
"216",97460,20.9834823608398,-89.2290267944336
"217",97466,21.0114555358887,-89.182487487793
"218",97470,21.0026092529297,-89.3959503173828
"219",97473,21.0052795410156,-89.377799987793
"220",97474,20.9652500152588,-89.3492965698242
"221",97475,20.9251346588135,-89.3340530395508
"222",97476,20.9761047363281,-89.3983154296875
"223",97477,21.0091609954834,-89.4235992431641
"224",97480,20.8717784881592,-89.1986312866211
"225",97483,20.9183979034424,-89.2130584716797
"226",97486,20.8602256774902,-89.1034164428711
"227",97490,20.8774433135986,-89.2617034912109
"228",97500,21.246955871582,-89.0412063598633
"229",97504,21.2403564453125,-89.046272277832
"230",97506,21.2532215118408,-89.0230026245117
"231",97510,21.149845123291,-88.9375457763672
"232",97513,21.1591987609863,-88.9415664672852
"233",97515,21.214412689209,-88.8986740112305
"234",97516,21.2770500183105,-88.8217086791992
"235",97520,21.0103912353516,-89.1107177734375
"236",97522,21.0412006378174,-89.1464996337891
"237",97523,20.9826374053955,-89.1445541381836
"238",97524,21.0430068969727,-89.0755615234375
"239",97527,21.0834140777588,-89.144775390625
"240",97530,21.0391330718994,-89.0378341674805
"241",97532,21.0310764312744,-89.0307998657227
"242",97535,21.0153541564941,-88.9547653198242
"243",97536,21.0635223388672,-88.9522018432617
"244",97540,20.9332733154297,-89.0188827514648
"245",97542,20.9245681762695,-89.0140686035156
"246",97545,20.9407196044922,-88.9574966430664
"247",97550,20.9353904724121,-89.1247634887695
"248",97553,20.934362411499,-89.1092071533203
"249",97555,20.8875827789307,-89.0008010864258
"250",97556,20.851037979126,-88.9960021972656
"251",97557,20.8453464508057,-88.9013061523438
"252",97560,20.8258075714111,-89.2480316162109
"253",97563,20.8122901916504,-89.2363433837891
"254",97564,20.7884960174561,-89.1847686767578
"255",97566,20.8326835632324,-89.1794204711914
"256",97570,20.83860206604,-89.3731918334961
"257",97573,20.8440036773682,-89.3654479980469
"258",97574,20.803409576416,-89.3123931884766
"259",97575,20.9274978637695,-89.3730010986328
"260",97577,20.7406158447266,-89.3191223144531
"261",97578,20.6774444580078,-89.3455352783203
"262",97579,23.9335918426514,-102.509696960449
"263",97580,20.7386856079102,-89.284423828125
"264",97582,20.7419338226318,-89.2966690063477
"265",97583,20.749979019165,-89.2514190673828
"266",97585,20.6568050384522,-89.2192993164063
"267",97586,20.6365013122559,-89.3421020507813
"268",97587,20.7709522247314,-89.2139511108398
"269",97590,20.7205448150635,-89.167366027832
"270",97596,20.6384735107422,-89.1239013671875
"271",97600,21.2800483703613,-88.9282836914063
"272",97604,21.3420486450195,-88.7183151245117
"273",97606,21.3933067321777,-88.8918609619141
"274",97608,21.3440628051758,-88.6759033203125
"275",97609,21.4252738952637,-88.5326843261719
"276",97610,21.2972736358643,-88.2711029052734
"277",97614,21.4466075897217,-88.1567993164063
"278",97615,21.377950668335,-88.3720016479492
"279",97616,21.5683898925781,-88.2335739135742
"280",97620,21.2021141052246,-88.7928085327148
"281",97623,21.2498378753662,-88.8238296508789
"282",97624,21.2088794708252,-88.554801940918
"283",97625,21.2434043884277,-88.5613174438477
"284",97626,21.1941413879395,-88.7991638183594
"285",97627,21.1418800354004,-88.6661987304688
"286",97630,21.1565971374512,-88.3186645507813
"287",97634,21.1619853973389,-88.3066787719727
"288",97636,21.1896839141846,-88.4657287597656
"289",97640,20.9678573608398,-88.5981369018555
"290",97645,21.0968189239502,-88.513069152832
"291",97646,21.126672744751,-88.8958206176758
"292",97647,21.0509910583496,-88.8925018310547
"293",97650,20.8967876434326,-88.750732421875
"294",97653,20.8881549835205,-88.7511825561523
"295",97654,20.8282165527344,-88.8039016723633
"296",97655,20.8731269836426,-88.6298599243164
"297",97660,20.840274810791,-88.5296325683594
"298",97666,20.771369934082,-88.5718002319336
"299",97670,20.8029899597168,-89.0337905883789
"300",97675,20.7566604614258,-88.9293975830078
"301",97676,20.871639251709,-88.9842910766602
"302",97677,20.7508735656738,-88.8467025756836
"303",97678,20.8007717132568,-88.8167037963867
"304",97680,20.5338649749756,-89.3335723876953
"305",97684,20.5428333282471,-89.3394012451172
"306",97686,20.5937690734863,-89.2602767944336
"307",97690,20.5957107543945,-89.00634765625
"308",97694,20.6029167175293,-89.0004577636719
"309",97695,20.5404167175293,-88.8284759521484
"310",97697,20.6088962554932,-89.1137008666992
"311",97700,21.1432228088379,-88.1516418457031
"312",97702,21.1545677185059,-88.149299621582
"313",97703,21.1273612976074,-88.1480712890625
"314",97704,21.1337928771973,-88.1623458862305
"315",97705,21.2091884613037,-88.2089462280273
"316",97706,21.1998729705811,-88.1074600219727
"317",97707,21.5163555145264,-87.6784286499023
"318",97710,21.0823879241943,-87.852912902832
"319",97712,21.1521091461182,-87.6640014648438
"320",97713,21.2140884399414,-87.7215805053711
"321",97714,21.354829788208,-87.8107986450195
"322",97715,21.1837940216064,-87.6531982421875
"323",97716,20.9938583374023,-87.5649566650391
"324",97717,21.0399951934814,-87.9467239379883
"325",97720,21.5968475341797,-88.1597671508789
"326",97723,21.6049327850342,-88.1560821533203
"327",97726,21.4627151489258,-88.1970977783203
"328",97730,21.0108871459961,-88.307258605957
"329",97733,20.9351215362549,-88.2997131347656
"330",97734,20.9164581298828,-88.4211730957031
"331",97739,21.1115531921387,-88.4894943237305
"332",97740,20.8032417297363,-88.2006301879883
"333",97743,20.8920822143555,-88.1457977294922
"334",97744,20.8527736663818,-88.0922470092773
"335",97745,21.0205192565918,-88.1742782592773
"336",97746,21.0559940338135,-88.0818023681641
"337",97747,20.9737110137939,-88.1159973144531
"338",97748,21.0738334655762,-88.0391082763672
"339",97750,20.7645206451416,-88.3908309936523
"340",97751,20.6996593475342,-88.591682434082
"341",97753,20.7805690765381,-88.3659515380859
"342",97754,20.8066177368164,-88.4499359130859
"343",97755,20.7176761627197,-88.3952331542969
"344",97756,20.6669445037842,-88.5118026733398
"345",97757,20.6988677978516,-88.5954437255859
"346",97758,20.5129375457764,-88.5841445922852
"347",97759,20.4388732910156,-88.5675506591797
"348",97760,20.6377258300781,-88.2122650146484
"349",97761,20.3839340209961,-88.0866012573242
"350",97762,20.5389213562012,-88.2748336791992
"351",97763,20.3580188751221,-88.3018035888672
"352",97764,20.6143951416016,-88.4151916503906
"353",97765,20.6588516235352,-88.4108963012695
"354",97766,20.6431407928467,-88.2975540161133
"355",97767,23.9335918426514,-102.509696960449
"356",97768,20.5963726043701,-88.2656707763672
"357",97769,20.4782829284668,-88.4524230957031
"358",97770,20.6557025909424,-87.9383697509766
"359",97773,20.7737255096436,-87.9746017456055
"360",97774,20.8552703857422,-87.6705703735352
"361",97775,20.7910137176514,-87.7129135131836
"362",97776,20.7913017272949,-87.9627380371094
"363",97777,20.5022068023682,-87.9241943359375
"364",97780,20.6897563934326,-88.2024688720703
"365",97782,20.69970703125,-88.202995300293
"366",97783,20.6828956604004,-88.2003707885742
"367",97784,20.6903057098389,-88.2164764404297
"368",97785,20.6194667816162,-88.1042327880859
"369",97786,20.5366268157959,-88.0162353515625
"370",97787,20.4651775360107,-88.0560073852539
"371",97790,20.7318210601807,-88.2349014282227
"372",97793,20.759256362915,-88.1421966552734
"373",97794,20.7907695770264,-88.0384750366211
"374",97795,20.6605014801025,-88.2431030273438
"375",97796,20.7181739807129,-88.3166961669922
"376",97798,20.8269271850586,-88.3219375610352
"377",97799,20.698486328125,-88.3944396972656
"378",97800,20.5838565826416,-90.0009384155273
"379",97803,20.5776462554932,-90.0735015869141
"380",97804,20.6087226867676,-90.0882263183594
"381",97805,20.7052173614502,-90.2705154418945
"382",97806,20.7023124694824,-90.1596069335938
"383",97807,20.6825618743897,-89.9612121582031
"384",97810,20.8774108886719,-89.8897399902344
"385",97812,20.8338260650635,-89.9760971069336
"386",97813,20.5474720001221,-89.8515014648438
"387",97814,20.5279674530029,-89.862174987793
"388",97816,20.7477588653564,-89.8347549438477
"389",97818,20.6505756378174,-89.8953018188477
"390",97820,20.7449264526367,-89.4748153686523
"391",97822,20.741979598999,-89.5765991210938
"392",97823,20.6863994598389,-89.3873825073242
"393",97824,20.553129196167,-89.4638595581055
"394",97825,20.6459865570068,-89.6844635009766
"395",97826,20.6475734710693,-89.6756134033203
"396",97827,20.6889591217041,-89.6400527954102
"397",97830,20.4778900146484,-90.082145690918
"398",97833,20.4879703521729,-90.0823822021484
"399",97835,20.5079669952393,-90.1138305664063
"400",97836,20.5303611755371,-90.1212844848633
"401",97837,20.553768157959,-90.201301574707
"402",97840,20.4850959777832,-89.7136459350586
"403",97843,20.5323810577393,-89.7016983032227
"404",97844,20.4154930114746,-89.7931518554688
"405",97845,20.4950904846191,-89.589714050293
"406",97847,20.5397109985352,-89.6064987182617
"407",97848,20.5331802368164,-89.6871719360352
"408",97850,20.3869380950928,-89.3941879272461
"409",97851,20.4067516326904,-89.3447036743164
"410",97854,20.3894691467285,-89.4745864868164
"411",97857,20.4529857635498,-89.4570999145508
"412",97858,20.4998111724854,-89.5801773071289
"413",97860,20.3956050872803,-89.533576965332
"414",97862,20.4066696166992,-89.5341796875
"415",97863,20.3967628479004,-89.5234375
"416",97864,20.3959331512451,-89.547477722168
"417",97870,20.3687210083008,-89.5122985839844
"418",97873,20.3259525299072,-89.4536895751953
"419",97880,20.3011417388916,-89.4150161743164
"420",97882,20.3035335540772,-89.3931732177734
"421",97883,20.2535724639893,-89.4601974487305
"422",97884,20.1021022796631,-89.4626998901367
"423",97885,20.1800327301025,-89.6525955200195
"424",97886,20.0548648834229,-89.5652160644531
"425",97887,20.2372493743897,-89.5221710205078
"426",97890,20.3318328857422,-89.6441345214844
"427",97893,20.3410263061523,-89.6429977416992
"428",97894,20.2750759124756,-89.672737121582
"429",97895,20.2171363830566,-89.8096008300781
"430",97899,20.3645133972168,-89.7695007324219
"431",97900,20.4746952056885,-89.3664627075195
"432",97904,20.4302501678467,-89.307731628418
"433",97908,20.4687843322754,-89.2117156982422
"434",97910,20.3927593231201,-89.2852935791016
"435",97915,20.468391418457,-89.0832977294922
"436",97917,20.3479461669922,-89.020393371582
"437",97918,20.4695072174072,-89.0872573852539
"438",97920,20.5486450195313,-88.8268737792969
"439",97922,20.7088851928711,-88.7060623168945
"440",97923,20.6431579589844,-88.8372039794922
"441",97924,20.5408496856689,-88.6730194091797
"442",97925,20.3891754150391,-88.720085144043
"443",97926,20.4414882659912,-88.7619018554688
"444",97927,20.4931488037109,-88.9176025390625
"445",97929,20.2677822113037,-88.6837768554688
"446",97930,20.125638961792,-88.9228744506836
"447",97932,20.1231708526611,-88.9702453613281
"448",97933,20.1784744262695,-88.885856628418
"449",97934,20.2416591644287,-88.7544021606445
"450",97935,20.1089324951172,-88.7642669677734
"451",97936,20.0173206329346,-88.7895965576172
"452",97937,19.9289665222168,-88.8602294921875
"453",97940,20.3334789276123,-88.485969543457
"454",97943,20.3817882537842,-88.5570983886719
"455",97944,20.1613483428955,-88.6099014282227
"456",97945,20.2079372406006,-88.9446716308594
"457",97947,20.3118267059326,-88.9359970092773
"458",97948,20.2135601043701,-88.8765029907227
"459",97950,20.2343063354492,-89.1111297607422
"460",97953,20.355863571167,-89.0755996704102
"461",97954,20.1799983978272,-89.1307983398438
"462",97955,20.1740341186523,-89.0164794921875
"463",97956,20.1839275360107,-88.9916229248047
"464",97957,20.1788921356201,-89.0144653320313
"465",97960,20.071870803833,-89.0501022338867
"466",97963,20.0681781768799,-89.0385513305664
"467",97964,19.8721103668213,-89.0421829223633
"468",97965,19.7100658416748,-89.0676879882813
"469",97966,19.7985286712647,-89.058464050293
"470",97967,20.0552024841309,-89.0708312988281
"471",97969,19.9834518432617,-88.9743957519531
"472",97970,20.2041168212891,-89.2905044555664
"473",97973,20.2893447875977,-89.2886962890625
"474",97974,20.2933311462402,-89.1872406005859
"475",97975,20.273998260498,-89.0948257446289
"476",97977,20.1954917907715,-89.3462753295898
"477",97979,20.1660404205322,-89.291389465332
"478",97980,19.979700088501,-89.4877166748047
"479",97983,19.8064002990723,-89.4997787475586
"480",97984,19.8728790283203,-89.1613006591797
"481",97985,20.030818939209,-89.1681976318359
"482",97986,19.7525272369385,-89.1619186401367
"483",97987,19.7158145904541,-89.4426803588867
"484",97989,19.709846496582,-89.1014785766602
"485",97990,20.2641582489014,-89.3460159301758
"486",98000,22.7710990905762,-102.57373046875
